Date,Year,Month,Month_Name,Quarter,Season,Collective_CA,Contract_Account,Account_Category,Region_City,Region_Major,Location_Name,Office,Longitude,Latitude,Consumption_kWh,Bill_Amount,Ministry
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10005606181,حساب تجميعي أصلي (37),الرياض,الوسطى,الهلال  الاحمر مركز إسعافي,RIYADH CITY ELECTRICITY-SOUTH  SERVICE OFFICE,46.68325545,24.605226270000,3333.0,1066.56,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10005767843,حساب تجميعي أصلي (37),الرياض,الوسطى,الهلال  الاحمر طويق مركز إسعافي,RIYADH CITY ELECTRICITY-SOUTH  SERVICE OFFICE,46.54716304,24.584228030000,1385.0,443.2,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10005767871,حساب تجميعي أصلي (37),الرياض,الوسطى,الهلال  الاحمر طويق مركز إسعافي,RIYADH CITY ELECTRICITY-SOUTH  SERVICE OFFICE,46.53948231,24.592588830000,472.0,151.04,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10005768798,حساب تجميعي أصلي (37),الرياض,الوسطى,الهلا ل الا حمر مركز إسعافي,RIYADH CITY ELECTRICITY-SOUTH  SERVICE OFFICE,46.677294,24.619940430000,699.0,223.68,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10005768822,حساب تجميعي أصلي (37),الرياض,الوسطى,الهلال  الا حمر مركز إسعافي,RIYADH CITY ELECTRICITY-SOUTH  SERVICE OFFICE,46.677294,24.619940430000,1632.0,522.24,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10005769795,حساب تجميعي أصلي (37),الرياض,الوسطى,هيئة  الهلال  الاحمر السعودي مركز إسعافي,RIYADH CITY ELECTRICITY-SOUTH  SERVICE OFFICE,46.69196504,24.636805220000,6000.0,1920.0,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10041218697,حساب تجميعي أصلي (37),,,,,,,3900.0,1248.0,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10041237745,حساب تجميعي أصلي (37),الرياض,الوسطى,   هيئةالهلال الاحمر ام الحمام مركز إسعافي,RIYADH CITY ELECTRICITY-NORTH SERVICE OFFICE,46.64817958,24.701121100000,491.0,157.12,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10041237871,حساب تجميعي أصلي (37),الرياض,الوسطى,   هيئةالهلال الاحمر ام الحمام مركز إسعافي,RIYADH CITY ELECTRICITY-NORTH SERVICE OFFICE,46.64817958,24.701121100000,0.0,0.0,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10041238134,حساب تجميعي أصلي (37),الرياض,الوسطى,   هيئةالهلال الاحمر ام الحمام مركز إسعافي,RIYADH CITY ELECTRICITY-NORTH SERVICE OFFICE,46.64817958,24.701121100000,0.0,0.0,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10041364962,حساب تجميعي أصلي (37),الرياض,الوسطى,   مركز اسعاف النسيم مركز إسعافي,RIYADH CITY ELECTRICITY-KHURAIS  SERVICE OFFICE,46.82926674,24.749320720000,1686.0,539.52,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10041365093,حساب تجميعي أصلي (37),الرياض,الوسطى,   مركز اسعاف النسيم مركز إسعافي,RIYADH CITY ELECTRICITY-KHURAIS  SERVICE OFFICE,46.82926674,24.749320720000,1391.0,445.12,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10041477483,حساب تجميعي أصلي (37),الرياض,الوسطى,   مركز الهلال الاحمر الخالدية مركز إسعافي,RIYADH CITY ELECTRICITY-EAST  SERVICE OFFICE,46.75489588,24.619869600000,318.0,101.76,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10041477607,حساب تجميعي أصلي (37),الرياض,الوسطى,   مركز الهلا ل الا حمر الخالدية مركز إسعافي,RIYADH CITY ELECTRICITY-EAST  SERVICE OFFICE,46.75489588,24.619869600000,278.0,88.96,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10041477723,حساب تجميعي أصلي (37),الرياض,الوسطى,   الهلا ل الا حمر الخالدية مركز إسعافي,RIYADH CITY ELECTRICITY-EAST  SERVICE OFFICE,46.75489588,24.619869600000,496.0,158.72,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10041477840,حساب تجميعي أصلي (37),الرياض,الوسطى,   مركز الهلا ل الا حمر الخالدية مركز إسعافي,RIYADH CITY ELECTRICITY-EAST  SERVICE OFFICE,46.75489588,24.619869600000,221.0,70.72,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10041477975,حساب تجميعي أصلي (37),الرياض,الوسطى,   مركز الهلا ل الا حمر الخالدية مركز إسعافي,RIYADH CITY ELECTRICITY-EAST  SERVICE OFFICE,46.75489588,46.754895880000,976.0,312.32,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10041478103,حساب تجميعي أصلي (37),الرياض,الوسطى,   مركز الهلا ل الا حمر الخالدية مركز إسعافي,RIYADH CITY ELECTRICITY-EAST  SERVICE OFFICE,46.75489588,24.619869600000,399.0,127.68,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10041478239,حساب تجميعي أصلي (37),الرياض,الوسطى,   مركز الهلا ل الا حمر الخالدية مركز إسعافي,RIYADH CITY ELECTRICITY-EAST  SERVICE OFFICE,46.75489588,24.619869600000,239.0,76.48,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10041637685,حساب تجميعي أصلي (37),الرياض,الوسطى,   مركز اسعاف الهلال الأحمر السعودي مركز إسعافي,RIYADH CITY ELECTRICITY-DIRIYAH  SERVICE OFFICE,46.56866055,24.748035280000,1400.0,448.0,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10041647430,حساب تجميعي أصلي (37),الرياض,الوسطى,   مقر الامانهالعامه    الاحمر مركز إسعافي,RIYADH CITY ELECTRICITY-NORTH SERVICE OFFICE,46.64755393,24.674814330000,28800.0,9216.0,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10041647556,حساب تجميعي أصلي (37),,,,,,,2000.0,640.0,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10041652298,حساب تجميعي أصلي (37),الرياض,الوسطى,   الهلال الاحمر السعودي مركز إسعافي,RIYADH CITY ELECTRICITY-NORTH SERVICE OFFICE,46.62954,24.674620000000,39900.0,12768.0,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10041684326,حساب تجميعي أصلي (37),الرياض,الوسطى,   جمعية  الهلال  الاحمر   السعودي مركز إسعافي,RIYADH CITY ELECTRICITY-KHURAIS  SERVICE OFFICE,46.74290916,24.776230760000,13280.0,4249.6,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10041772545,حساب تجميعي أصلي (37),الرياض,الوسطى, جمعية الهلال الاحمر السعودي/مركزاسعاف مركز إسعافي,RIYADH CITY ELECTRICITY-EAST  SERVICE OFFICE,46.76433602,24.691125990000,4980.0,1593.6,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10041773838,حساب تجميعي أصلي (37),الرياض,الوسطى,   هيئه      الهلال     السعودي مركز إسعافي,RIYADH CITY ELECTRICITY-NORTH SERVICE OFFICE,46.63660156,24.792613960000,222054.0,71057.28,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10041819893,حساب تجميعي أصلي (37),الرياض,الوسطى,   هيئةالهلا ل الا حمرالسعودي/الربوه مركز إسعافي,RIYADH CITY ELECTRICITY-EAST  SERVICE OFFICE,46.76937799,24.677356700000,93.0,29.76,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10041882716,حساب تجميعي أصلي (37),الرياض,الوسطى, هيئة الهلال الاحمر السعودي/مركز اسعاف مركز إسعافي,RIYADH CITY ELECTRICITY-EAST  SERVICE OFFICE,46.76870726,24.567063270000,386.0,123.52,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10041882851,حساب تجميعي أصلي (37),الرياض,الوسطى, هيئة الهلال الاحمر السعودي/مركز اسعاف مركز إسعافي,RIYADH CITY ELECTRICITY-EAST  SERVICE OFFICE,46.76870726,24.567063270000,347.0,111.04,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10041882977,حساب تجميعي أصلي (37),الرياض,الوسطى, هيئة الهلال الاحمر السعودي/مركز اسعاف مركز إسعافي,RIYADH CITY ELECTRICITY-EAST  SERVICE OFFICE,46.76870726,24.567063270000,164.0,52.48,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10041883114,حساب تجميعي أصلي (37),الرياض,الوسطى, هيئة الهلال الاحمر السعودي/مركز اسعاف مركز إسعافي,RIYADH CITY ELECTRICITY-EAST  SERVICE OFFICE,46.76870726,24.567063270000,596.0,190.72,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10041883240,حساب تجميعي أصلي (37),الرياض,الوسطى, هيئة الهلال الاحمر السعودي/مركز اسعاف مركز إسعافي,RIYADH CITY ELECTRICITY-EAST  SERVICE OFFICE,46.76870726,24.567063270000,377.0,120.64,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10041996332,حساب تجميعي أصلي (37),الرياض,الوسطى,   ناصر      عبدالله   العواد مركز إسعافي,RIYADH CITY ELECTRICITY-DIRIYAH  SERVICE OFFICE,46.38510153,24.907562310000,1544.0,494.08,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10041996421,حساب تجميعي أصلي (37),الرياض,الوسطى,   ناصر      عبدالله   العواد مركز إسعافي,RIYADH CITY ELECTRICITY-DIRIYAH  SERVICE OFFICE,46.38510153,24.907562310000,1442.0,461.44,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10041996511,حساب تجميعي أصلي (37),الرياض,الوسطى,   ناصر      عبدالله   العواد مركز إسعافي,RIYADH CITY ELECTRICITY-DIRIYAH  SERVICE OFFICE,46.38510153,24.907562310000,422.0,135.04,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10087678652,حساب تجميعي أصلي (37),الرياض,الوسطى,هيئة الهلال الاحمر 0,RIYADH CITY ELECTRICITY-EAST  SERVICE OFFICE,46.82507447,24.601036290000,1680.0,537.6,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10090681669,حساب تجميعي أصلي (37),الرياض,الوسطى,هيئة الهلال الاحمر حي المناخ مركز إسعافي,RIYADH CITY ELECTRICITY-EAST  SERVICE OFFICE,46.82495437,24.601086450000,1640.0,524.8,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10090687152,حساب تجميعي أصلي (37),الرياض,الوسطى,هيئة الهلال الاحمر حي المناخ مركز إسعافي,RIYADH CITY ELECTRICITY-EAST  SERVICE OFFICE,46.82520413,24.600982140000,2320.0,742.4,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10092013816,حساب تجميعي أصلي (37),الرياض,الوسطى,ﺠﻤﻋﻴﻩ ﺍﻟﻫﻼﻝ ﺍﻼﺤﻤﺭ مركز إسعافي,RIYADH CITY ELECTRICITY-KHURAIS  SERVICE OFFICE,46.77127321,24.754958180000,950.0,304.0,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10092138721,حساب تجميعي أصلي (37),الرياض,الوسطى,ﺠﻤﻋﻴﻩ ﺍﻟﻫﻼﻝ ﺍﻼﺤﻤﺭ مركز إسعافي,RIYADH CITY ELECTRICITY-KHURAIS  SERVICE OFFICE,46.82037301,24.923343190000,11040.0,3532.8,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10099127971,حساب تجميعي أصلي (37),الرياض,الوسطى,هيئة الهلال الاحمر السعودي مركز إسعافي,RIYADH CITY ELECTRICITY-KHURAIS  SERVICE OFFICE,46.80116029,24.832997260000,2560.0,819.2,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10099321923,حساب تجميعي أصلي (37),الرياض,الوسطى,هيئة الهلال الأحمر السعودي مركز إسعافي,RIYADH CITY ELECTRICITY-SOUTH  SERVICE OFFICE,46.59400191,24.720321530000,1173.0,375.36,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10099324424,حساب تجميعي أصلي (37),الرياض,الوسطى,هيئة الهلال الأحمر السعودي مركز إسعافي,RIYADH CITY ELECTRICITY-SOUTH  SERVICE OFFICE,46.58321428,24.745347370000,236.0,75.52,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10099324433,حساب تجميعي أصلي (37),الرياض,الوسطى,هيئة الهلال الأحمر السعودي مركز إسعافي,RIYADH CITY ELECTRICITY-SOUTH  SERVICE OFFICE,46.58180502,24.680622120000,0.0,0.0,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10099342039,حساب تجميعي أصلي (37),الرياض,الوسطى,هيئة الهلال الأحمر السعودي مركز إسعافي,RIYADH CITY ELECTRICITY-SOUTH  SERVICE OFFICE,46.65436001,24.529965560000,361.0,115.52,هيئة الهلال الأحمر السعودي
2024-01-01,2024,1,يناير,Q1,شتاء,20000005027,10099342057,حساب تجميعي أصلي (37),الرياض,الوسطى,هيئة الهلال الأحمر السعودي مركز إسعافي,RIYADH CITY ELECTRICITY-SOUTH  SERVICE OFFICE,46.82702461,24.715425050000,7.0,2.24,هيئة الهلال الأحمر السعودي
