Contract_Account,Collective_CA,Year,Month,Consumption_kWh,Region_Major,Account_Category,Predicted_Consumption,Error,Error_Pct
10005606181,20000005027,2026,1,2734.05,الوسطى,حساب تجميعي أصلي (37),3336.767,-602.7170898437498,22.044845187312877
10005606181,20000005027,2026,2,2472.66,الوسطى,حساب تجميعي أصلي (37),3659.9375,-1187.2775000000001,48.01620522028715
10005606181,20000005027,2026,3,2966.22,الوسطى,حساب تجميعي أصلي (37),2795.463,170.7571093749998,5.756724362150955
10005767843,20000005027,2026,1,1426.96,الوسطى,حساب تجميعي أصلي (37),1505.5421,-78.58211425781246,5.5069598487558835
10005767843,20000005027,2026,2,1314.92,الوسطى,حساب تجميعي أصلي (37),1693.0894,-378.1693554687499,28.759875541380552
10005767843,20000005027,2026,3,1361.33,الوسطى,حساب تجميعي أصلي (37),1518.3445,-157.01448242187507,11.533903052299115
10005767871,20000005027,2026,1,413.11,الوسطى,حساب تجميعي أصلي (37),423.3479,-10.237900390624986,2.4782504395009823
10005767871,20000005027,2026,2,198.26,الوسطى,حساب تجميعي أصلي (37),387.6221,-189.36210083007813,95.5120048572494
10005767871,20000005027,2026,3,631.59,الوسطى,حساب تجميعي أصلي (37),488.20135,143.38864501953128,22.702804829004346
10005768798,20000005027,2026,1,783.0,الوسطى,حساب تجميعي أصلي (37),605.9097,177.09027099609375,22.616892847518663
10005768798,20000005027,2026,2,790.51,الوسطى,حساب تجميعي أصلي (37),689.90643,100.60356689453124,12.726412935259326
10005768798,20000005027,2026,3,867.86,الوسطى,حساب تجميعي أصلي (37),657.66455,210.19544921875,24.21997202529507
10005768822,20000005027,2026,1,2121.79,الوسطى,حساب تجميعي أصلي (37),1712.2659,409.52413085937496,19.30087948662948
10005768822,20000005027,2026,2,1728.69,الوسطى,حساب تجميعي أصلي (37),2000.5715,-271.88153320312495,15.727604903314601
10005768822,20000005027,2026,3,2096.92,الوسطى,حساب تجميعي أصلي (37),1811.7412,285.1787890625001,13.59988883994079
10005769795,20000005027,2026,1,5301.0,الوسطى,حساب تجميعي أصلي (37),5859.366,-558.3662109375,10.533224126343887
10005769795,20000005027,2026,2,4743.0,الوسطى,حساب تجميعي أصلي (37),6908.486,-2165.48583984375,45.656458778066714
10005769795,20000005027,2026,3,5121.0,الوسطى,حساب تجميعي أصلي (37),5015.8984,105.1015625,2.0523640402264784
10005941731,20000015631,2026,1,3418.8,الشمالية,حساب تجميعي أصلي (37),4473.9043,-1055.1042968749998,30.861831545424383
10005941731,20000015631,2026,2,2798.0,الشمالية,حساب تجميعي أصلي (37),4612.415,-1814.4150390625,64.84685629243872
10005941731,20000015631,2026,3,2168.0,الشمالية,حساب تجميعي أصلي (37),3448.2612,-1280.26123046875,59.05263978176619
10005988129,20000015631,2026,1,4342.2,الشمالية,حساب تجميعي أصلي (37),3269.1262,1073.0737792968748,24.712675125439873
10005988129,20000015631,2026,2,5532.6,الشمالية,حساب تجميعي أصلي (37),4462.3906,1070.2093750000004,19.34369690561365
10005988129,20000015631,2026,3,3977.4,الشمالية,حساب تجميعي أصلي (37),3619.094,358.3060058593751,9.00854844519953
10005988245,20000015631,2026,1,1750.69,الشمالية,حساب تجميعي أصلي (37),1659.1143,91.57574218750005,5.2308371092252095
10005988245,20000015631,2026,2,1345.84,الشمالية,حساب تجميعي أصلي (37),2399.0967,-1053.2566796875,78.26017057654862
10005988245,20000015631,2026,3,1617.76,الشمالية,حساب تجميعي أصلي (37),1627.8921,-10.132089843750009,0.6263036447773083
10005989242,20000016245,2026,1,4638.92,الشمالية,حساب تجميعي أصلي (37),3623.6729,1015.2471484375001,21.885420495233333
10005989242,20000016245,2026,2,5403.85,الشمالية,حساب تجميعي أصلي (37),5345.8506,57.999414062500364,1.0732980016562133
10005989242,20000016245,2026,3,4453.55,الشمالية,حساب تجميعي أصلي (37),5276.315,-822.7649414062498,18.474361832835186
10005989529,20000016245,2026,1,0.0,الشمالية,حساب تجميعي أصلي (37),4.9630084,-4.963008403778076,4963008403778.076
10005989529,20000016245,2026,2,0.0,الشمالية,حساب تجميعي أصلي (37),10.147786,-10.147786140441895,10147786140441.895
10005989529,20000016245,2026,3,0.0,الشمالية,حساب تجميعي أصلي (37),3.1464806,-3.1464805603027344,3146480560302.7344
10006003996,20000095759,2026,1,6046.37,الشمالية,حساب تجميعي أصلي (37),4638.8315,1407.53845703125,23.279065902867778
10006003996,20000095759,2026,2,4962.55,الشمالية,حساب تجميعي أصلي (37),5612.819,-650.2688476562498,13.103522335417006
10006003996,20000095759,2026,3,3588.75,الشمالية,حساب تجميعي أصلي (37),4471.073,-882.3232421875,24.58580960466668
10006004394,20000016245,2026,1,718.17,الشمالية,حساب تجميعي أصلي (37),1322.6221,-604.4520703125,84.16559732548224
10006004394,20000016245,2026,2,695.41,الشمالية,حساب تجميعي أصلي (37),1326.8345,-631.42447265625,90.79887730348416
10006004394,20000016245,2026,3,1019.57,الشمالية,حساب تجميعي أصلي (37),1013.9583,5.6116870117188,0.550397423592127
10006004401,20000016245,2026,1,2682.87,الشمالية,حساب تجميعي أصلي (37),3222.5654,-539.6954296875001,20.116346661876275
10006004401,20000016245,2026,2,2800.2,الشمالية,حساب تجميعي أصلي (37),4270.8594,-1470.6593750000002,52.51979769302007
10006004401,20000016245,2026,3,1639.32,الشمالية,حساب تجميعي أصلي (37),2885.1858,-1245.865791015625,75.99893803623144
10006007565,20000016245,2026,1,49.28,الشمالية,حساب تجميعي أصلي (37),62.18893,-12.908930511474608,26.195070031348237
10006007565,20000016245,2026,2,340.55,الشمالية,حساب تجميعي أصلي (37),68.04922,272.5007827758789,80.01784841456436
10006007565,20000016245,2026,3,348.98,الشمالية,حساب تجميعي أصلي (37),138.26042,210.71957824707033,60.38156291105793
10006010079,20000016531,2026,1,0.0,الشمالية,حساب تجميعي أصلي (37),3542.8936,-3542.8935546875,3542893554687500.0
10006010079,20000016531,2026,2,0.0,الشمالية,حساب تجميعي أصلي (37),5425.581,-5425.5810546875,5425581054687500.0
10006010079,20000016531,2026,3,0.0,الشمالية,حساب تجميعي أصلي (37),3816.3044,-3816.304443359375,3816304443359375.0
10006011577,20000016531,2026,1,10559.6,الشمالية,حساب تجميعي أصلي (37),4220.4443,6339.1556640625,60.03215712775521
10006011577,20000016531,2026,2,5664.0,الشمالية,حساب تجميعي أصلي (37),6820.801,-1156.80078125,20.42374260681461
10006011577,20000016531,2026,3,5492.8,الشمالية,حساب تجميعي أصلي (37),4133.6787,1359.1212890625002,24.74368790166173
10006015404,20000018160,2026,1,4400.7,الشمالية,حساب تجميعي أصلي (37),4753.421,-352.7208984375002,8.0151089244323
10006015404,20000018160,2026,2,3063.58,الشمالية,حساب تجميعي أصلي (37),5049.692,-1986.11189453125,64.82977087365714
10006015404,20000018160,2026,3,2493.11,الشمالية,حساب تجميعي أصلي (37),3391.448,-898.3379980468749,36.03282639140827
10006015914,20000018160,2026,1,4077.3,الشمالية,حساب تجميعي أصلي (37),3571.9268,505.3732421875002,12.39480151540205
10006015914,20000018160,2026,2,4244.96,الشمالية,حساب تجميعي أصلي (37),4175.2026,69.75736328125004,1.643298482936197
10006015914,20000018160,2026,3,2713.37,الشمالية,حساب تجميعي أصلي (37),3317.6743,-604.3043164062501,22.2713568885271
10006026838,20000017055,2026,1,1050.36,الشمالية,حساب تجميعي أصلي (37),3279.8738,-2229.5137792968753,212.26187014896448
10006026838,20000017055,2026,2,51.95,الشمالية,حساب تجميعي أصلي (37),5157.6587,-5105.70869140625,9828.120676412746
10006026838,20000017055,2026,3,0.0,الشمالية,حساب تجميعي أصلي (37),3772.966,-3772.966064453125,3772966064453125.0
10006032343,20000017421,2026,1,7580.8,الشمالية,حساب تجميعي أصلي (37),6895.4585,685.3415039062502,9.04049050108486
10006032343,20000017421,2026,2,5884.0,الشمالية,حساب تجميعي أصلي (37),8931.614,-3047.6142578125,51.794939799667716
10006032343,20000017421,2026,3,5465.6,الشمالية,حساب تجميعي أصلي (37),6641.365,-1175.7652343749996,21.51209811136889
10006033995,20000017771,2026,1,3273.6,الشمالية,حساب تجميعي أصلي (37),3936.3735,-662.7735351562501,20.246014636981606
10006033995,20000017771,2026,2,2900.0,الشمالية,حساب تجميعي أصلي (37),5657.9033,-2757.9033203125,95.10011449353121
10006033995,20000017771,2026,3,2471.2,الشمالية,حساب تجميعي أصلي (37),4388.887,-1917.6872070312502,77.60145706665476
10006041727,20000018400,2026,1,985.05,الشمالية,حساب تجميعي أصلي (37),8.870833,976.1791666030883,99.09945348997404
10006041727,20000018400,2026,2,14.69,الشمالية,حساب تجميعي أصلي (37),175.61215,-160.92215209960938,1095.4537242921303
10006041727,20000018400,2026,3,0.0,الشمالية,حساب تجميعي أصلي (37),6.5475793,-6.547579288482666,6547579288482.666
10006047195,20000018400,2026,1,14756.8,الشمالية,حساب تجميعي أصلي (37),15749.375,-992.5750000000007,6.726221131952687
10006047195,20000018400,2026,2,11733.6,الشمالية,حساب تجميعي أصلي (37),16060.452,-4326.8521484375,36.87574272548461
10006047195,20000018400,2026,3,9210.4,الشمالية,حساب تجميعي أصلي (37),12630.689,-3420.2894531250004,37.13508048646056
10006062324,20000018400,2026,1,4352.04,الشمالية,حساب تجميعي أصلي (37),3446.485,905.554892578125,20.807595807439824
10006062324,20000018400,2026,2,5119.0,الشمالية,حساب تجميعي أصلي (37),4998.209,120.791015625,2.3596603950966526
10006062324,20000018400,2026,3,3459.15,الشمالية,حساب تجميعي أصلي (37),5107.419,-1648.2689453125,47.64953660039178
10006063152,20000018400,2026,1,5553.69,الشمالية,حساب تجميعي أصلي (37),5458.065,95.6250585937496,1.7218292449479156
10006063152,20000018400,2026,2,4095.28,الشمالية,حساب تجميعي أصلي (37),5864.5713,-1769.2912890624998,43.20318242128637
10006063152,20000018400,2026,3,4612.7,الشمالية,حساب تجميعي أصلي (37),4899.967,-287.2667968750002,6.227736398963599
10006063297,20000018400,2026,1,2670.0,الشمالية,حساب تجميعي أصلي (37),4043.1382,-1373.13818359375,51.4283963892771
10006063297,20000018400,2026,2,2026.4,الشمالية,حساب تجميعي أصلي (37),4437.132,-2410.7318359375,118.96623746236581
10006063297,20000018400,2026,3,1478.0,الشمالية,حساب تجميعي أصلي (37),3292.2397,-1814.23974609375,122.74964452595583
10006070792,20000022888,2026,1,2358.2,الشمالية,حساب تجميعي أصلي (37),2222.193,136.00688476562482,5.767402458045079
10006070792,20000022888,2026,2,2189.58,الشمالية,حساب تجميعي أصلي (37),2351.7039,-162.12385742187507,7.404335873631823
10006070792,20000022888,2026,3,1963.98,الشمالية,حساب تجميعي أصلي (37),2096.7788,-132.79880859374998,6.761718988673164
10006076311,20000022752,2026,1,3190.8,الشمالية,حساب تجميعي أصلي (37),3015.3567,175.44331054687518,5.498411387328246
10006076311,20000022752,2026,2,2463.6,الشمالية,حساب تجميعي أصلي (37),3396.6846,-933.0845703125001,37.87484049003337
10006076311,20000022752,2026,3,2178.0,الشمالية,حساب تجميعي أصلي (37),2910.4114,-732.411376953125,33.6277032577177
10006078511,20000022752,2026,1,2008.68,الشمالية,حساب تجميعي أصلي (37),1476.5381,532.1419140625001,26.49211990274576
10006078511,20000022752,2026,2,2386.47,الشمالية,حساب تجميعي أصلي (37),2403.9731,-17.5031445312502,0.7334324140361902
10006078511,20000022752,2026,3,1529.44,الشمالية,حساب تجميعي أصلي (37),1998.8632,-469.42315917968745,30.6924860850806
10006079626,20000022888,2026,1,3166.0,الشمالية,حساب تجميعي أصلي (37),2936.934,229.06591796875,7.23518376401588
10006079626,20000022888,2026,2,3764.0,الشمالية,حساب تجميعي أصلي (37),3992.0486,-228.048583984375,6.058676513931162
10006079626,20000022888,2026,3,2325.2,الشمالية,حساب تجميعي أصلي (37),3186.151,-860.9508789062502,37.02696021444233
10006085006,20000022752,2026,1,4992.0,الشمالية,حساب تجميعي أصلي (37),3241.4946,1750.50537109375,35.06621336325551
10006085006,20000022752,2026,2,3749.34,الشمالية,حساب تجميعي أصلي (37),3797.5571,-48.217128906249854,1.286016443060607
10006085006,20000022752,2026,3,3031.88,الشمالية,حساب تجميعي أصلي (37),2728.3003,303.5797070312501,10.012919608666571
10006088124,20000022888,2026,1,488.1,الشمالية,حساب تجميعي أصلي (37),570.9068,-82.80679931640623,16.965129956236275
10006088124,20000022888,2026,2,528.06,الشمالية,حساب تجميعي أصلي (37),594.96454,-66.9045385742188,12.669874365452058
10006088124,20000022888,2026,3,603.26,الشمالية,حساب تجميعي أصلي (37),475.29364,127.96635986328124,21.212472211527373
10006088142,20000022888,2026,1,1575.69,الشمالية,حساب تجميعي أصلي (37),1387.5638,188.12615722656255,11.939287374201182
10006088142,20000022888,2026,2,1587.66,الشمالية,حساب تجميعي أصلي (37),2028.6028,-440.9427832031249,27.77312417035745
10006088142,20000022888,2026,3,987.49,الشمالية,حساب تجميعي أصلي (37),1544.7123,-557.2222802734375,56.428144110156154
10006091872,20000022888,2026,1,2174.04,الشمالية,حساب تجميعي أصلي (37),1633.6586,540.3814306640625,24.856094214643594
10006094186,20000022888,2026,1,3406.21,الشمالية,حساب تجميعي أصلي (37),4384.0005,-977.79048828125,28.706112902058923
10006094186,20000022888,2026,2,3011.55,الشمالية,حساب تجميعي أصلي (37),4945.476,-1933.9260742187498,64.21696715042704
10006094186,20000022888,2026,3,3311.28,الشمالية,حساب تجميعي أصلي (37),3917.4966,-606.2165820312498,18.307620679351533
10006100748,20000023491,2026,1,2015.2,الشمالية,حساب تجميعي أصلي (37),2368.3594,-353.15937499999995,17.524780418816118
10006100748,20000023491,2026,2,1510.4,الشمالية,حساب تجميعي أصلي (37),2179.813,-669.4129882812499,44.320245516499305
10006100748,20000023491,2026,3,2008.8,الشمالية,حساب تجميعي أصلي (37),1816.8668,191.93317871093745,9.554618613646351
10006121247,20000022494,2026,1,2481.31,الشمالية,حساب تجميعي أصلي (37),1642.115,839.195009765625,33.82064352159106
10006121247,20000022494,2026,2,1964.12,الشمالية,حساب تجميعي أصلي (37),1750.6105,213.5095263671874,10.870492962098881
10006121247,20000022494,2026,3,1833.65,الشمالية,حساب تجميعي أصلي (37),1623.1302,210.5197509765626,11.480912441117503
